Year,National League,NL Wins,American League,AL Wins
1903,Pittsburgh Pirates,3,Boston Americans,5
1904,No Series (See Fact #1),,No Series (See Fact #1),
1905,New York Giants,4,Philadelphia Athletics,1
1906,Chicago Cubs,2,Chicago White Sox,4
1907,Chicago Cubs,4,Detroit Tigers,0
1908,Chicago Cubs,4,Detroit Tigers,1
1909,Pittsburgh Pirates,4,Detroit Tigers,3
1910,Chicago Cubs,1,Philadelphia Athletics,4
1911,New York Giants,2,Philadelphia Athletics,4
1912,New York Giants,3,Boston Red Sox,4
1913,New York Giants,1,Philadelphia Athletics,4
1914,Boston Braves,4,Philadelphia Athletics,0
1915,Philadelphia Phillies,1,Boston Red Sox,4
1916,Brooklyn Robins,1,Boston Red Sox,4
1917,New York Giants,2,Chicago White Sox,4
1918,Chicago Cubs,2,Boston Red Sox,4
1919,Cincinnati Reds,5,Chicago White Sox,3
1920,Brooklyn Robins,2,Cleveland Indians,5
1921,New York Giants,5,New York Yankees,3
1922,New York Giants,4,New York Yankees,0
1923,New York Giants,2,New York Yankees,4
1924,New York Giants,3,Washington Senators,4
1925,Pittsburgh Pirates,4,Washington Senators,3
1926,St. Louis Cardinals,4,New York Yankees,3
1927,Pittsburgh Pirates,0,New York Yankees,4
1928,St. Louis Cardinals,0,New York Yankees,4
1929,Chicago Cubs,1,Philadelphia Athletics,4
1930,St. Louis Cardinals,2,Philadelphia Athletics,4
1931,St. Louis Cardinals,4,Philadelphia Athletics,3
1932,Chicago Cubs,0,New York Yankees,4
1933,New York Giants,4,Washington Senators,1
1934,St. Louis Cardinals,4,Detroit Tigers,3
1935,Chicago Cubs,2,Detroit Tigers,4
1936,New York Giants,2,New York Yankees,4
1937,New York Giants,1,New York Yankees,4
1938,Chicago Cubs,0,New York Yankees,4
1939,Cincinnati Reds,0,New York Yankees,4
1940,Cincinnati Reds,4,Detroit Tigers,3
1941,Brooklyn Dodgers,1,New York Yankees,4
1942,St. Louis Cardinals,4,New York Yankees,1
1943,St. Louis Cardinals,1,New York Yankees,4
1944,St. Louis Cardinals,4,St. Louis Browns,2
1945,Chicago Cubs,3,Detroit Tigers,4
1946,St. Louis Cardinals,4,Boston Red Sox,3
1947,Brooklyn Dodgers,3,New York Yankees,4
1948,Boston Braves,2,Cleveland Indians,4
1949,Brooklyn Dodgers,1,New York Yankees,4
1950,Philadelphia Phillies,0,New York Yankees,4
1951,New York Giants,2,New York Yankees,4
1952,Brooklyn Dodgers,3,New York Yankees,4
1953,Brooklyn Dodgers,2,New York Yankees,4
1954,New York Giants,4,Cleveland Indians,0
1955,Brooklyn Dodgers,4,New York Yankees,3
1956,Brooklyn Dodgers,3,New York Yankees,4
1957,Milwaukee Braves,4,New York Yankees,3
1958,Milwaukee Braves,3,New York Yankees,4
1959,Los Angeles Dodgers,4,Chicago White Sox,2
1960,Pittsburgh Pirates,4,New York Yankees,3
1961,Cincinnati Reds,1,New York Yankees,4
1962,San Francisco Giants,3,New York Yankees,4
1963,Los Angeles Dodgers,4,New York Yankees,0
1964,St. Louis Cardinals,4,New York Yankees,3
1965,Los Angeles Dodgers,4,Minnesota Twins,3
1966,Los Angeles Dodgers,0,Baltimore Orioles,4
1967,St. Louis Cardinals,4,Boston Red Sox,3
1968,St. Louis Cardinals,3,Detroit Tigers,4
1969,New York Mets,4,Baltimore Orioles,1
1970,Cincinnati Reds,1,Baltimore Orioles,4
1971,Pittsburgh Pirates,4,Baltimore Orioles,3
1972,Cincinnati Reds,3,Oakland Athletics,4
1973,New York Mets,3,Oakland Athletics,4
1974,Los Angeles Dodgers,1,Oakland Athletics,4
1975,Cincinnati Reds,4,Boston Red Sox,3
1976,Cincinnati Reds,4,New York Yankees,0
1977,Los Angeles Dodgers,2,New York Yankees,4
1978,Los Angeles Dodgers,2,New York Yankees,4
1979,Pittsburgh Pirates,4,Baltimore Orioles,3
1980,Philadelphia Phillies,4,Kansas City Royals,2
1981,Los Angeles Dodgers,4,New York Yankees,2
1982,St. Louis Cardinals,4,Milwaukee Brewers,3
1983,Philadelphia Phillies,1,Baltimore Orioles,4
1984,San Diego Padres,1,Detroit Tigers,4
1985,St. Louis Cardinals,3,Kansas City Royals,4
1986,New York Mets,4,Boston Red Sox,3
1987,St. Louis Cardinals,3,Minnesota Twins,4
1988,Los Angeles Dodgers,4,Oakland Athletics,1
1989,San Francisco Giants,0,Oakland Athletics,4
1990,Cincinnati Reds,4,Oakland Athletics,0
1991,Atlanta Braves,3,Minnesota Twins,4
1992,Atlanta Braves,2,Toronto Blue Jays,4
1993,Philadelphia Phillies,2,Toronto Blue Jays,4
1994,No Series (Strike Year),,No Series (Strike Year),
1995,Atlanta Braves,4,Cleveland Indians,2
1996,Atlanta Braves,2,New York Yankees,4
1997,Florida Marlins,4,Cleveland Indians,3
1998,San Diego Padres,0,New York Yankees,4
1999,Atlanta Braves,0,New York Yankees,4
2000,New York Mets,1,New York Yankees,4
2001,Arizona Diamondbacks,4,New York Yankees,3
2002,San Francisco Giants,3,Anaheim Angels,4
2003,Florida Marlins,4,New York Yankees,2
2004,St. Louis Cardinals,0,Boston Red Sox,4
2005,Houston Astros,0,Chicago White Sox,4
2006,St. Louis Cardinals,4,Detroit Tigers,1
2007,Colorado Rockies,0,Boston Red Sox,4
2008,Philadelphia Phillies,4,Tampa Bay Rays,1
2009,Philadelphia Phillies,2,New York Yankees,4
2010,San Francisco Giants,4,Texas Rangers,1
2011,St. Louis Cardinals,4,Texas Rangers,3
2012,San Francisco Giants,4,Detroit Tigers,0
2013,St. Louis Cardinals,2,Boston Red Sox,4
2014,San Francisco Giants,4,Kansas City Royals,3
2015,New York Mets,1,Kansas City Royals,4
2016,Chicago Cubs,4,Cleveland Indians,3
2017,Los Angeles Dodgers,3,Houston Astros,4
2018,Los Angeles Dodgers,1,Boston Red Sox,4
2019,Washington Nationals,4,Houston Astros,3
2020,Los Angeles Dodgers,4,Tampa Bay Rays,2
2021,Atlanta Braves,4,Houston Astros,2
2022,Philadelphia Phillies,2,Houston Astros,4
2023,Arizona Diamondbacks,1,Texas Rangers,4
2024,Los Angeles Dodgers,4,New York Yankees,1
2025,To Be Determined,,To Be Determined,
