Year,Games,Attendance,Gate Receipts,Players' Total,Winners,Losers
1903,8,100429.0,50000.0,32612.0,1182.0,1316.25
1905,5,91723.0,68436.81,27394.2,1142.0,832.22
1906,6,99845.0,106550.0,33401.7,1874.63,439.5
1907,5,78068.0,101728.5,54933.39,2142.85,1945.96
1908,5,62232.0,94975.5,46114.92,1317.58,870.0
1909,7,145205.0,188302.5,66924.9,1825.22,1274.76
1910,5,124222.0,173980.0,79071.93,2062.79,1375.16
1911,6,179851.0,342364.5,127910.61,3654.58,2436.39
1912,8,252037.0,490833.0,147572.28,4024.68,2566.47
1913,5,151000.0,325980.0,135164.16,3246.36,2164.22
1914,4,111009.0,225739.0,121898.94,2812.28,2031.65
1915,5,143351.0,320361.5,144899.55,3780.25,2520.17
1916,5,162859.0,385590.5,162927.45,391026.0,2834.82
1917,6,186654.0,425878.0,152888.58,3669.32,2442.21
1918,6,128483.0,179619.0,69527.7,1102.51,671.09
1919,8,236928.0,722414.0,260349.66,5207.07,3254.36
1920,7,178737.0,564800.0,214882.74,4168.0,2419.6
1921,8,269976.0,900233.0,292522.23,5265.0,3510.0
1922,5,185947.0,605475.0,247309.71,4545.71,2842.86
1923,6,301430.0,1063815.0,368783.04,6143.49,4112.88
1924,7,283665.0,1093104.0,331092.51,5959.64,3820.29
1925,7,282848.0,1182854.0,339664.19,5332.72,3734.6
1926,7,328051.0,1207864.0,372300.51,5584.51,3417.75
1927,4,201705.0,783217.0,399440.67,5782.24,3985.47
1928,4,199072.0,777290.0,419736.6,5813.2,4181.3
1929,5,190490.0,859494.0,388086.66,5620.57,3782.01
1930,6,212619.0,953772.0,323865.0,5038.07,3536.68
1931,7,231567.0,1030723.0,320303.46,4467.59,3023.0
1932,4,191998.0,713377.0,363822.27,5231.77,4244.6
1933,5,163076.0,679365.0,284665.68,4256.72,3019.86
1934,7,281510.0,1031341.0,327950.46,5389.57,3354.68
1935,6,286672.0,1073794.0,397360.24,6544.76,419853.0
1936,6,302924.0,1204399.0,460022.66,6430.55,4655.57
1937,5,238142.0,985994.0,459629.35,6471.11,4489.96
1938,4,200833.0,851166.0,434094.66,572876.0,4674.87
1939,4,183849.0,745329.09,431117.84,5541.89,4193.39
1940,7,281927.0,1222328.21,404414.04,5803.62,3531.81
1941,5,235773.0,1007762.0,474184.54,5943.31,4829.4
1942,5,277101.0,1105249.0,427579.41,6192.53,3351.77
1943,5,277312.0,1105784.0,488005.74,6139.46,4321.96
1944,6,206708.0,906122.0,309590.91,4626.01,2743.79
1945,7,333457.0,1492454.0,475579.04,6443.34,3930.22
1946,7,250071.0,1052900.0,304141.05,3742.34,2140.89
1947,7,389763.0,1781348.92,493674.82,5830.03,4081.19
1948,6,358362.0,1633685.56,548214.99,6772.07,4570.73
1949,5,236716.0,1129627.88,490855.84,5626.74,4272.74
1950,4,196009.0,953669.03,486371.21,5737.95,4081.34
1951,6,341977.0,1633457.47,560562.37,6446.09,4951.03
1952,7,340706.0,1622753.01,500003.28,5982.65,4200.64
1953,6,307350.0,1779269.44,691341.61,8280.68,6178.42
1954,4,251507.0,1566203.38,881763.72,11147.9,6712.5
1955,7,362310.0,2337515.34,737853.59,9768.21,5598.58
1956,7,345903.0,2183254.59,758561.63,8714.76,6934.34
1957,7,394712.0,2475978.94,709027.55,8924.36,5606.06
1958,7,393909.0,2397223.03,726044.55,8759.1,5896.08
1959,6,420784.0,2628809.44,893301.4,11231.18,7257.17
1960,7,349813.0,2230627.88,682144.82,8417.94,5214.64
1961,5,223247.0,1480059.95,645928.28,7389.13,5356.37
1962,7,376864.0,2878891.11,863281.71,9882.74,7291.49
1963,4,247279.0,1995189.09,1017546.43,12794.0,7874.32
1964,7,321807.0,2243187.96,696520.15,8622.19,530929.0
1965,7,364326.0,2975041.6,885612.21,10297.43,6634.36
1966,4,220791.0,2047142.46,1044042.65,11683.04,818936.0
1967,7,304085.0,2350607.1,705878.44,8314.81,5115.23
1968,7,379670.0,,879761.08,10936.66,7078.71
1969,5,272378.0,2857782.78,1142200.93,18338.18,14904.21
1970,5,253183.0,2599170.26,1098631.14,18215.78,13687.59
1971,7,351091.0,3049803.46,1032256.9,18164.58,13906.46
1972,7,363149.0,3954542.99,1142418.35,20705.01,15080.24
1973,7,358289.0,3923968.37,1144473.44,24617.57,14950.18
1974,5,260004.0,3007194.0,2045442.79,22219.09,15703.96
1975,7,308272.0,3380579.61,1826264.97,19060.45,13325.86
1976,4,223009.0,2498417.69,2467835.98,26366.68,19935.48
1977,6,337708.0,3978825.33,2778300.31,27758.03,20899.03
1978,6,337304.0,4650164.57,3301933.77,31236.98,25483.21
1979,7,367597.0,4390766.14,2854824.33,28263.87,22113.94
1980,6,324516.0,5131756.68,3915870.82,34693.18,32211.95
1981,6,338081.0,5615922.5,4142340.63,38118.87,28845.17
1982,7,348570.0,6421055.31,4500467.78,43279.69,31934.99
1983,5,304139.0,7652103.89,6109306.0,65487.7,44473.32
1984,5,271820.0,6776564.1,5472234.22,51831.36,42425.56
1985,7,327494.0,9680551.7,7805371.25,76341.71,54921.76
1986,7,321774.0,10454119.53,8646298.3,86254.0,74985.65
1987,7,387178.0,10405659.93,8537564.26,85581.06,56052.57
1988,5,259984.0,11524839.0,11969881.0,108664.88,86220.89
1989,4,222843.0,9580455.0,12110809.0,114252.11,83529.26
1990,4,208544.0,9036707.0,11438463.0,112533.7,86960.54
1991,7,373160.0,15393126.0,12849321.0,119579.66,73323.41
1992,6,311460.0,15939663.18,13530613.0,144962.16,84259.13
1993,6,344394.0,5327335.76,14798155.0,127920.77,91222.27
1995,6,286385.0,13263192.24,22177412.42,206635.01,121945.9
