Year,Games,Attendance,Gate Receipts,Players' Total,Winners,Losers
W.S.,GMs,Attendance,Gate Receipts,Players' Total,Winners,Losers
1903,8,"100,429","$50,000.00","$32,612.00","$1,182.00","$1,316.25"
1905,5,"91,723","$68,436.81","$27,394.20","$1,142.00",$832.22
1906,6,"99,845","$106,550.00","$33,401.70","$1,874.63",$439.50
1907,5,"78,068","$101,728.50","$54,933.39","$2,142.85","$1,945.96"
1908,5,"62,232","$94,975.50","$46,114.92","$1,317.58",$870.00
1909,7,"145,205","$188,302.50","$66,924.90","$1,825.22","$1,274.76"
1910,5,"124,222","$173,980.00","$79,071.93","$2,062.79","$1,375.16"
1911,6,"179,851","$342,364.50","$127,910.61","$3,654.58","$2,436.39"
1912,8,"252,037","$490,833.00","$147,572.28","$4,024.68","$2,566.47"
1913,5,"151,000","$325,980.00","$135,164.16","$3,246.36","$2,164.22"
1914,4,"111,009","$225,739.00","$121,898.94","$2,812.28","$2,031.65"
1915,5,"143,351","$320,361.50","$144,899.55","$3,780.25","$2,520.17"
1916,5,"162,859","$385,590.50","$162,927.45","$3,910,26","$2,834.82"
1917,6,"186,654","$425,878.00","$152,888.58","$3,669.32","$2,442.21"
1918,6,"128,483","$179,619.00","$69,527.70","$1,102.51",$671.09
1919,8,"236,928","$722,414.00","$260,349.66","$5,207.07","$3,254.36"
1920,7,"178,737","$564,800.00","$214,882.74","$4,168.00","$2,419.60"
1921,8,"269,976","$900,233.00","$292,522.23","$5,265.00","$3,510.00"
1922,5,"185,947","$605,475.00","$247,309.71","$4,545.71","$2,842.86"
1923,6,"301,430","$1,063,815.00","$368,783.04","$6,143.49","$4,112.88"
1924,7,"283,665","$1,093,104.00","$331,092.51","$5,959.64","$3,820.29"
1925,7,"282,848","$1,182,854.00","$339,664.19","$5,332.72","$3,734.60"
1926,7,"328,051","$1,207,864.00","$372,300.51","$5,584.51","$3,417.75"
1927,4,"201,705","$783,217.00","$399,440.67","$5,782.24","$3,985.47"
1928,4,"199,072","$777,290.00","$419,736.60","$5,813.20","$4,181.30"
1929,5,"190,490","$859,494.00","$388,086.66","$5,620.57","$3,782.01"
1930,6,"212,619","$953,772.00","$323,865.00","$5,038.07","$3,536.68"
1931,7,"231,567","$1,030,723.00","$320,303.46","$4,467.59","$3,023.00"
1932,4,"191,998","$713,377.00","$363,822.27","$5,231.77","$4,244.60"
1933,5,"163,076","$679,365.00","$284,665.68","$4,256.72","$3,019.86"
1934,7,"281,510","$1,031,341.00","$327,950.46","$5,389.57","$3,354.68"
1935,6,"286,672","$1,073,794.00","$397,360.24","$6,544.76","$4,198,53"
1936,6,"302,924","$1,204,399.00","$460,022.66","$6,430.55","$4,655.57"
1937,5,"238,142","$985,994.00","$459,629.35","$6,471.11","$4,489.96"
1938,4,"200,833","$851,166.00","$434,094.66","$5,728,76","$4,674.87"
1939,4,"183,849","$745,329.09","$431,117.84","$5,541.89","$4,193.39"
1940,7,"281,927","$1,222,328.21","$404,414.04","$5,803.62","$3,531.81"
1941,5,"235,773","$1,007,762.00","$474,184.54","$5,943.31","$4,829.40"
1942,5,"277,101","$1,105,249.00","$427,579.41","$6,192.53","$3,351.77"
1943,5,"277,312","$1,105,784.00","$488,005.74","$6,139.46","$4,321.96"
1944,6,"206,708","$906,122.00","$309,590.91","$4,626.01","$2,743.79"
1945,7,"333,457","$1,492,454.00","$475,579.04","$6,443.34","$3,930.22"
1946,7,"250,071","$1,052,900.00","$304,141.05","$3,742.34","$2,140.89"
1947,7,"389,763","$1,781,348.92","$493,674.82","$5,830.03","$4,081.19"
1948,6,"358,362","$1,633,685.56","$548,214.99","$6,772.07","$4,570.73"
1949,5,"236,716","$1,129,627.88","$490,855.84","$5,626.74","$4,272.74"
1950,4,"196,009","$953,669.03","$486,371.21","$5,737.95","$4,081.34"
1951,6,"341,977","$1,633,457.47","$560,562.37","$6,446.09","$4,951.03"
1952,7,"340,706","$1,622,753.01","$500,003.28","$5,982.65","$4,200.64"
1953,6,"307,350","$1,779,269.44","$691,341.61","$8,280.68","$6,178.42"
1954,4,"251,507","$1,566,203.38","$881,763.72","$11,147.90","$6,712.50"
1955,7,"362,310","$2,337,515.34","$737,853.59","$9,768.21","$5,598.58"
1956,7,"345,903","$2,183,254.59","$758,561.63","$8,714.76","$6,934.34"
1957,7,"394,712","$2,475,978.94","$709,027.55","$8,924.36","$5,606.06"
1958,7,"393,909","$2,397,223.03","$726,044.55","$8,759.10","$5,896.08"
1959,6,"420,784","$2,628,809.44","$893,301.40","$11,231.18","$7,257.17"
1960,7,"349,813","$2,230,627.88","$682,144.82","$8,417.94","$5,214.64"
1961,5,"223,247","$1,480,059.95","$645,928.28","$7,389.13","$5,356.37"
1962,7,"376,864","$2,878,891.11","$863,281.71","$9,882.74","$7,291.49"
1963,4,"247,279","$1,995,189.09","$1,017,546.43","$12,794.00","$7,874.32"
1964,7,"321,807","$2,243,187.96","$696,520.15","$8,622.19","$5,309,29"
1965,7,"364,326","$2,975,041.60","$885,612.21","$10,297.43","$6,634.36"
1966,4,"220,791","$2,047,142.46","$1,044,042.65","$11,683.04","$8,189,36"
1967,7,"304,085","$2,350,607.10","$705,878.44","$8,314.81","$5,115.23"
1968,7,"379,670","$3,018.113.40","$879,761.08","$10,936.66","$7,078.71"
1969,5,"272,378","$2,857,782.78","$1,142,200.93","$18,338.18","$14,904.21"
1970,5,"253,183","$2,599,170.26","$1,098,631.14","$18,215.78","$13,687.59"
1971,7,"351,091","$3,049,803.46","$1,032,256.90","$18,164.58","$13,906.46"
1972,7,"363,149","$3,954,542.99","$1,142,418.35","$20,705.01","$15,080.24"
1973,7,"358,289","$3,923,968.37","$1,144,473.44","$24,617.57","$14,950.18"
1974,5,"260,004","$3,007,194.00","$2,045,442.79","$22,219.09","$15,703.96"
1975,7,"308,272","$3,380,579.61","$1,826,264.97","$19,060.45","$13,325.86"
1976,4,"223,009","$2,498,417.69","$2,467,835.98","$26,366.68","$19,935.48"
1977,6,"337,708","$3,978,825.33","$2,778,300.31","$27,758.03","$20,899.03"
1978,6,"337,304","$4,650,164.57","$3,301,933.77","$31,236.98","$25,483.21"
1979,7,"367,597","$4,390,766.14","$2,854,824.33","$28,263.87","$22,113.94"
